Year,AGE,SEX,POP
2001,25-29,Female,19574
2001,30-34,Female,19177
2001,35-39,Female,18254
2001,40-44,Female,16432
2001,45-49,Female,13554
2001,50-54,Female,14614
2001,55-59,Female,11101
2001,60-64,Female,10542
2001,65-69,Female,10293
2001,70+,Female,31609
2001,0-4,Male,11353
2001,5-9,Male,11834
2001,10-14,Male,11940
2001,15-19,Male,13653
2001,20-24,Male,20265
2001,25-29,Male,18676
2001,30-34,Male,19166
2001,35-39,Male,17367
2001,40-44,Male,15735
2001,45-49,Male,13886
2001,50-54,Male,13932
2001,55-59,Male,10378
2001,60-64,Male,9338
2001,65-69,Male,8573
2001,70+,Male,18615
1921,0-4,Female,17000
1921,5-9,Female,17500
1921,10-14,Female,19500
1921,15-19,Female,20000
1921,20-24,Female,22000
1921,25-29,Female,19000
1921,30-34,Female,17000
1921,35-39,Female,16500
1921,40-44,Female,16000
1921,45-49,Female,15000
1921,50-54,Female,12500
1921,55-59,Female,10500
1921,60-64,Female,8000
1921,65-69,Female,6500
1921,70+,Female,10000
1921,0-4,Male,16000
1921,5-9,Male,17500
1921,10-14,Male,19500
1921,15-19,Male,19000
1921,20-24,Male,17500
1921,25-29,Male,15000
1921,30-34,Male,13000
1921,35-39,Male,12500
1921,40-44,Male,13000
1921,45-49,Male,13000
1921,50-54,Male,11000
1921,55-59,Male,8000
1921,60-64,Male,6000
1921,65-69,Male,5000
1921,70+,Male,7000
1931,0-4,Female,16000
1931,5-9,Female,17500
1931,10-14,Female,16000
1931,15-19,Female,21000
1931,20-24,Female,23000
1931,25-29,Female,20500
1931,30-34,Female,17500
1931,35-39,Female,16000
1931,40-44,Female,15500
1931,45-49,Female,15500
1931,50-54,Female,14500
1931,55-59,Female,13000
1931,60-64,Female,10500
1931,65-69,Female,8000
1931,70+,Female,12000
1931,0-4,Male,16000
1931,5-9,Male,17500
1931,10-14,Male,15500
1931,15-19,Male,17500
1931,20-24,Male,18500
1931,25-29,Male,17500
1931,30-34,Male,14500
1931,35-39,Male,13000
1931,40-44,Male,12000
1931,45-49,Male,12000
1931,50-54,Male,12500
1931,55-59,Male,10000
1931,60-64,Male,8500
1931,65-69,Male,6000
1931,70+,Male,8000
1951,0-4,Female,19500
1951,5-9,Female,15500
1951,10-14,Female,15500
1951,15-19,Female,16000
1951,20-24,Female,17500
1951,25-29,Female,17500
1951,30-34,Female,16000
1951,35-39,Female,18000
1951,40-44,Female,19000
1951,45-49,Female,18000
1951,50-54,Female,17000
1951,55-59,Female,15000
1951,60-64,Female,13500
1951,65-69,Female,12500
1951,70+,Female,22000
1951,0-4,Male,20000
1951,5-9,Male,15500
1951,10-14,Male,15500
1951,15-19,Male,14500
1951,20-24,Male,14500
1951,25-29,Male,17000
1951,30-34,Male,15000
1951,35-39,Male,16000
1951,40-44,Male,17000
1951,45-49,Male,16000
1951,50-54,Male,13000
1951,55-59,Male,11000
1951,60-64,Male,9000
1951,65-69,Male,7500
1951,70+,Male,13000
1991,0-4,Female,12099
1991,5-9,Female,10822
1991,10-14,Female,10131
1991,15-19,Female,11971
1991,20-24,Female,18544
1991,25-29,Female,19891
1991,30-34,Female,17360
1991,35-39,Female,14246
1991,40-44,Female,14954
1991,45-49,Female,11934
1991,50-54,Female,11695
1991,55-59,Female,11629
1991,60-64,Female,12248
1991,65-69,Female,11764
1991,70+,Female,32658
1991,0-4,Male,12518
1991,5-9,Male,11353
1991,10-14,Male,10469
1991,15-19,Male,11932
1991,20-24,Male,17234
1991,25-29,Male,18742
1991,30-34,Male,16826
1991,35-39,Male,14166
1991,40-44,Male,14501
1991,45-49,Male,11248
1991,50-54,Male,10741
1991,55-59,Male,10650
1991,60-64,Male,10255
1991,65-69,Male,9542
1991,70+,Male,16625
